1,9,5350000,9592076,
2,6,5350000,1055318,
3,9,5350000,1055318,
4,2,5350000,7313360,
5,2,5350000,7313360,
6,9,8289019,9592076,
7,1,8289019,1055318,
8,4,8289019,7313360,
9,7,8289019,7313360,
10,2,8289019,7313360,
21,10,7239145,9592076,
22,10,7239145,7313360,
23,1,7239145,1055318,
24,1,7239145,1055318,
25,6,7239145,7313360,
26,5,7239145,7313360,
27,3,7239145,1055318,
28,4,7239145,1055318,
29,2,7239145,9592076,
30,5,7239145,1055318,
31,2,7612837,7313360,
32,3,7612837,1055318,
33,10,7612837,7313360,
34,8,7612837,7313360,
35,3,7612837,9592076,
36,10,5350000,1055318,
37,10,5350000,1055318,
38,5,5350000,7313360,
39,9,5350000,7313360,
40,4,5350000,7313360,
41,3,2235894,1055318,
42,10,2235894,1055318,
43,9,2235894,7313360,
44,4,2235894,9592076,
45,9,2235894,7313360,
46,3,4644194,1055318,
47,10,4644194,1055318,
48,6,4644194,9592076,
49,2,4644194,9592076,
50,6,4644194,9592076,
51,7,5430790,7313360,
52,9,5430790,1055318,
53,3,5430790,1055318,
54,1,5430790,9592076,
55,7,5430790,1055318,
56,1,9867416,9592076,
57,1,9867416,9592076,
66,1,7612837,9592076,
67,8,7612837,1055318,
68,3,7612837,1055318,
69,8,7612837,1055318,
70,3,7612837,1055318,
71,3,7239145,9592076,
72,9,7239145,9592076,
73,4,7239145,9592076,
74,7,7239145,7313360,
75,9,7239145,7313360,
76,9,1,1055318,
77,1,1,1055318,
78,4,1,1055318,
79,7,1,1055318,
80,2,1,1055318,
